exchange	uptake	growth	comment
EX_glc__D_e	5	yes	
EX_xyl__D_e	5	yes	
EX_glyc_e	5	yes	
EX_ac_e	5	yes	
EX_arab__D_e	5	yes	
EX_ttdca_e	5	yes	
EX_hdca_e	5	yes	
EX_ocdca_e	5	yes	
EX_ocdcea_e	5	yes	
EX_cellb_e	5	yes	
EX_fru_e	5	yes	
EX_man_e	5	yes	
EX_sucr_e	5	yes	

